community,n_artists,most_repr
60s-oldies-motown-50s-40s,38,Aretha Franklin - Ray Charles - Etta James - Sam Cooke - Billie Holiday
metal-grunge-screamo-nu-heavy,62,Foo Fighters - Rage Against the Machine - 30 Seconds to Mars - Papa Roach - Lostprophets
roll-oldies-60s-heavy-70s,77,Led Zeppelin - Cat Stevens - The Rolling Stones - Rod Stewart - Scorpions
east-rap-coast-hop-hip,55, Lupe Fiasco - Drake - OutKast - Joey Badass - Wale
skitz0rz-sunflower-factor-bitch-uitluisteren,73,Katy Perry - Ariana Grande - Miley Cyrus - Dua Lipa - Tove Lo
r'n'b-hop-hip-r&b-urban,53,Brandy - Usher - Mary J. Blige - Aaliyah - Destiny's Child
brit-pop-rock-piano-post,32,James Blunt - Coldplay - Snow Patrol - Train - The Fray
minimal-trip-hop-idm-techno,56,Röyksopp - Little Dragon - Groove Armada - Massive Attack - Morcheeba
house-tropical-electro-dj-kygo,21,Galantis - Kygo - Calvin Harris - The Chainsmokers - Avicii
indietronica-folk-revival-post-punk,101,Vampire Weekend - Beck - Two Door Cinema Club - alt-J - Phoenix
svensk-folk-swedish-alt-country,22,Ben Howard - The Lumineers - Mumford & Sons - Vance Joy - First Aid Kit
