country,svensk-folk-swedish-alt-country,brit-pop-rock-piano-post,roll-oldies-60s-heavy-70s,60s-oldies-motown-50s-40s,indietronica-folk-revival-post-punk,r'n'b-hop-hip-r&b-urban,house-tropical-electro-dj-kygo,east-rap-coast-hop-hip,metal-grunge-screamo-nu-heavy,skitz0rz-sunflower-factor-bitch-uitluisteren,minimal-trip-hop-idm-techno
PAK,1,3,9,2,10,1,6,4,4,8,0
ROU,1,2,8,1,13,0,3,4,7,6,5
SYC,1,3,7,4,9,1,0,0,8,11,2
WSM,1,0,2,0,0,0,1,0,1,4,0
EGY,1,3,10,1,8,0,6,4,5,8,0
LBN,2,1,10,2,14,0,2,4,3,6,3
SEN,1,1,5,5,11,3,2,7,1,11,1
MOZ,1,2,13,2,9,1,0,3,8,4,5
LUX,1,3,12,1,12,0,5,1,6,5,4
KEN,1,3,0,1,5,4,7,11,2,14,1
TWN,2,5,2,1,5,2,8,2,0,19,0
NIC,1,2,5,1,10,0,6,2,2,18,1
BWA,2,4,6,1,3,4,4,2,2,18,2
TUR,1,2,9,3,11,0,2,2,3,6,6
QAT,1,4,6,2,13,0,4,3,2,14,1
PLW,1,5,1,1,6,2,2,9,2,18,2
BTN,4,2,0,0,24,2,1,1,3,6,6
ZAF,2,1,7,0,16,0,1,1,10,7,4
SGP,1,5,3,1,8,2,7,3,0,19,1
LTU,1,2,11,1,13,0,3,1,7,6,5
SWE,6,1,10,3,5,0,6,3,2,10,2
KHM,1,1,4,2,15,0,4,4,1,8,9
AND,1,1,8,2,20,0,0,1,5,4,8
NLD,1,3,9,3,12,1,6,2,4,7,0
BHR,1,4,5,2,8,2,4,6,1,16,1
DZA,1,4,9,2,7,0,5,4,6,9,1
MLT,1,3,9,2,11,0,3,3,5,9,3
ARE,1,2,5,1,11,1,7,5,4,13,0
LCA,1,1,3,3,8,2,3,9,0,8,2
MLI,1,2,16,11,4,4,0,6,1,5,0
SAU,1,3,3,1,8,1,6,5,1,21,0
KNA,1,3,7,2,7,5,0,7,3,11,2
CHE,2,2,9,3,10,0,7,2,4,8,3
ZWE,3,3,3,4,6,7,2,3,2,17,0
ARM,1,3,15,1,11,0,0,2,8,4,3
IRQ,1,3,10,0,4,2,6,4,1,16,2
DMA,2,4,1,0,18,3,2,3,6,8,0
