YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1880   -8.4   -5.4   -5.3    1.8    8.5   14.1   16.9   17.8   12.8   -0.5   -1.8   -6.8    -6.0     1.7    16.3     3.5    3.85
1881  -11.7   -9.4   -6.4   -1.0    6.7   14.7   17.1   15.2   10.9    2.9    0.0   -4.8    -9.3    -0.2    15.7     4.6    2.68
1882   -1.4   -3.8   -0.1    3.7   10.5   14.8   18.8   19.1   12.2    2.9   -5.1  -11.0    -3.3     4.7    17.6     3.3    5.57
1883  -12.8   -8.8   -8.2    3.1    9.6   17.2   17.3   14.6   12.2    5.3    2.7   -2.4   -10.9     1.5    16.4     6.7    3.43
1884   -6.5   -6.4   -5.4    0.6    6.5   15.5   17.0   13.7   10.8    6.4   -2.4   -6.6    -5.1     0.6    15.4     4.9    3.95
1885   -6.6   -5.0   -3.9    1.3    8.7   13.6   20.8   15.4    9.1    4.4   -3.2   -4.6    -6.1     2.0    16.6     3.4    4.00
1886   -9.4   -9.6   -5.9    4.7    9.7   15.9   18.0   16.9   10.2    4.3    1.6   -2.0    -7.9     2.8    16.9     5.4    4.32
1887   -4.3   -3.6   -3.9    3.0   10.9   13.0   17.7   15.3   12.7    3.2   -0.5   -6.6    -3.3     3.3    15.3     5.1    5.12
1888  -11.4  -12.2  -10.1    1.9    7.2   12.5   15.7   15.5   10.8    3.5   -1.4   -8.2   -10.1    -0.3    14.6     4.3    2.12
1889   -7.8  -11.2   -7.3    2.0   12.3   15.3   17.2   15.2    9.6    7.3    2.0   -3.8    -9.1     2.3    15.9     6.3    3.87
1890   -5.7   -5.2    0.4    6.3   11.0   15.4   17.5   16.7   12.1    3.8   -3.0   -6.4    -4.9     5.9    16.5     4.3    5.46
1891   -8.9   -3.6   -2.8    3.0    9.9   13.1   18.3   13.7    9.8    5.6   -5.4   -2.9    -6.3     3.4    15.0     3.3    3.86
1892  -10.6   -8.4   -5.0    1.1    8.5   12.0   16.2   14.8   11.7    4.1   -0.6  -10.4    -7.3     1.5    14.3     5.1    3.41
1893  -15.3  -17.2   -5.0   -0.2    7.9   14.9   16.1   15.3    8.8    6.8   -1.8   -3.2   -14.3     0.9    15.4     4.6    1.66
1894   -3.9   -3.9   -2.9    5.9   10.6   14.7   16.7   16.0    7.1    2.1    0.5   -4.9    -3.7     4.5    15.8     3.2    4.98
1895   -7.8  -15.2   -5.0    1.9   10.7   16.0   16.5   15.6   10.5    6.4    1.1   -6.2    -9.3     2.5    16.0     6.0    3.82
1896   -6.4   -8.8   -3.0    2.2    9.3   17.7   19.1   15.6   10.6    8.0   -2.8   -6.1    -7.1     2.8    17.5     5.3    4.61
1897  -10.0   -8.6   -4.5    4.6   15.9   14.3   18.3   16.6   10.8    5.5   -0.2   -5.2    -8.2     5.3    16.4     5.4    4.72
